"4","gittrac","中山創意基地URS21","1","1","~20:30","100-120 / 180-260","24","捷運雙連站","台北市中山區民生東路一段21號","25.0584215","121.5240033","","http://www.jut-arts.org.tw/cht/project_detail.php?serial_page=9&serial=3\
\
場地氛圍明亮，很有設計感。","0000-00-00 00:00:00","1",\N,"咖啡館 , "
"5","","Mix Cafe","1",\N,"～22:00","55-90 / 160-250","30","捷運古亭站","台北市中正區南昌路二段200號","25.0242119","121.52410699999996","02-23699310","","0000-00-00 00:00:00","1",\N,"咖啡館 , "
"7","Tsung","MINDER 主廚私房料理","1","1","23:59:00"," 100-150 / 220+","22","","台北市大安區通化街171巷30弄2號","25.0276409","121.55505300000004","02-2733-3855","離捷運站有點距離，附近不好停車\
\"剛剛這篇文章寫得地點, 低消只要飲料, 然後又有提供投影機可以用, 照片看起來位置也不少~\
http://www.kenming.idv.tw/20100327_28_hsdc_reading_and_course_activit…\
\
台北市通化街171巷30弄2號\
02-27333855.\
http://tw.myblog.yahoo.com/mindercafe/article?mid=-2&prev=2&l=f&fid=5\
\
餐點不錯，晚餐稍為貴了一點。\
\
附近交通擠了一點，車位不甚好找，走路離捷運有點距離～\"","0000-00-00 00:00:00","1",\N,"咖啡館 , "
"8","","咖啡實驗室",\N,\N,"12:00–20:00","","10","捷運忠孝新生","台北市中正區忠孝東路二段64巷6號","25.042992","121.52860299999998","02 2341 9880","無線上網穩定度：好\
插座密集度：OK，可接延長線。\
咖啡好喝度：好。咖啡豆很新鮮。大推薦熱拿鐵。\
座椅舒適度：好。還有一個火紅熱情的兩人沙發呢。\
空間開闊度：小。座位不多，大概十來個人就客滿了…\
裝潢：好。這應該是我最常回籠的咖啡館了，我很喜歡這裡的舒服放鬆。還有貓貓狗狗會來串門子。進門要脫鞋，可以盤腿隨興坐，更是我的愛。\
推薦度：4.5。","0000-00-00 00:00:00","1",\N,"咖啡館 , "
"9","","Orange公寓咖啡館","0",\N,"11:30~23:00","","0","捷運中山站","台北市中山北路二段44巷21-2號","25.055147","121.52117799999996","02-2571-0508","","0000-00-00 00:00:00","1",\N,"咖啡館 , "
